wykladowca;przedmiot;typ;tryb;płeć;o1;o2;o3;o4;o5;o6;o7;o8;o9;o10;Uwagi;kierunek;rok;miejsce;
Wykładowca-032;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Zajęcia praktyczne;Niestacjonarne;Kobieta;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-008;Prawo w praktyce pielęgniarskiej;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-037;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-093;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-072;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-048;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-042;Coaching w pielęgniarstwie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-109;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia zdrowia psychicznego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-033;Prawo w praktyce pielęgniarskiej;Wykład;Niestacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;POM;1;KWI;
Wykładowca-007;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Ćwiczenia Symulacji;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-121;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-067;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-005;Opieka i edukacja terapeutyczna w chorobach przewlekłych: cukrzyca;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-032;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Zajęcia praktyczne;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-008;Prawo w praktyce pielęgniarskiej;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-037;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;nie mam zdania;;POM;1;KWI;
Wykładowca-093;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-072;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-034;Seminarium magisterskie;Seminarium;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-048;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-042;Coaching w pielęgniarstwie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-109;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia zdrowia psychicznego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-033;Prawo w praktyce pielęgniarskiej;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-007;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Ćwiczenia Symulacji;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-121;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-018;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-067;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-005;Opieka i edukacja terapeutyczna w chorobach przewlekłych: cukrzyca;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-032;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Zajęcia praktyczne;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-008;Prawo w praktyce pielęgniarskiej;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-055;Seminarium magisterskie;Seminarium;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-037;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-093;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-072;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-048;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-042;Coaching w pielęgniarstwie;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-109;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia zdrowia psychicznego;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-033;Prawo w praktyce pielęgniarskiej;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-007;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Ćwiczenia Symulacji;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-121;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Ćwiczenia;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-067;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Ćwiczenia;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-005;Opieka i edukacja terapeutyczna w chorobach przewlekłych: cukrzyca;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-061;Seminarium magisterskie;Seminarium;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-032;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Zajęcia praktyczne;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-008;Prawo w praktyce pielęgniarskiej;Ćwiczenia;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-037;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-093;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-072;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-048;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-042;Coaching w pielęgniarstwie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-109;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia zdrowia psychicznego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-033;Prawo w praktyce pielęgniarskiej;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-007;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Ćwiczenia Symulacji;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-121;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-085;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-067;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-005;Opieka i edukacja terapeutyczna w chorobach przewlekłych: cukrzyca;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-061;Seminarium magisterskie;Seminarium;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-032;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Zajęcia praktyczne;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-008;Prawo w praktyce pielęgniarskiej;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-037;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;nie mam zdania;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-093;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-072;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zdecydowanie się zgadzam;uważam za bardzo interesujący;;POM;1;KWI;
Wykładowca-048;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zdecydowanie się zgadzam;zdecydowanie się zgadzam;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-042;Coaching w pielęgniarstwie;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-109;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia zdrowia psychicznego;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-033;Prawo w praktyce pielęgniarskiej;Wykład;Niestacjonarne;Kobieta;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;nie mam zdania;nie mam zdania;zgadzam się;nie mam zdania;;POM;1;KWI;
Wykładowca-007;Opieka i edukacja terapeutyczna w chorobach przewlekłych: rany przewlekłe i przetoki;Ćwiczenia Symulacji;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-121;Opieka i edukacja terapeutyczna w chorobach przewlekłych: choroba nowotworowa  leczenie żywieniowe;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-018;Język obcy - język angielski;Ćwiczenia;Niestacjonarne;Kobieta;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;Nie mam zdania/Nie wiem;nie mam zdania;nie mam zdania;nie mam zdania;nie mam zdania;;POM;1;KWI;
Wykładowca-067;Opieka i edukacja terapeutyczna w chorobach przewlekłych: zaburzenia układu nerwowego;Ćwiczenia;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-005;Opieka i edukacja terapeutyczna w chorobach przewlekłych: cukrzyca;Wykład;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-061;Seminarium magisterskie;Seminarium;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
Wykładowca-032;Opieka i edukacja terapeutyczna w chorobach przewlekłych: leczenie nerkozastępcze;Zajęcia praktyczne;Niestacjonarne;Kobieta;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;zgadzam się;zgadzam się;zgadzam się;uważam za interesujący;;POM;1;KWI;
